word,count
daiin,787
ol,515
chedy,494
aiin,442
Shedy,422
chol,373
or,336
ar,334
chey,331
qokeey,305
qokeedy,299
dar,292
Shey,269
qokedy,263
qokaiin,262
al,246
dal,239
dy,221
chor,202
okaiin,201
qokai!n,200
s,192
qokal,184
Shol,172
okeey,170
cheey,170
cheol,162
otedy,153
otaiin,148
qol,146
qokar,144
chdy,139
Sheey,139
qoky,139
y,134
oteey,134
otal,134
otar,134
chy,133
okal,128
chcKhy,127
okar,118
Sho,117
saiin,115
okedy,114
Sheol,111
dai!n,111
dol,110
oty,110
lchedy,108
qokey,104
okeedy,103
cThy,101
qokol,101
okai!n,99
dair,98
oteedy,97
cheor,95
Shor,90
Shy,90
qotedy,89
oky,87
chody,87
dam,86
cheody,86
Sheedy,83
r,82
qoty,81
otol,80
am,80
okol,75
chcThy,75
qotaiin,75
otai!n,75
sar,74
qoteedy,74
dain,73
air,73
qokain,72
o,70
dor,69
char,69
qokchy,67
kaiin,64
cheo,64
cho,61
okeol,61
qotchy,61
qotar,60
okey,59
raiin,59
cheedy,59
cheky,57
ai!n,57
cThol,56
sol,55
qokchdy,55
qotal,55
otey,54
qotai!n,54
ykeey,53
ShcKhy,53
l,53
keedy,53
odaiin,52
Shody,51
kar,50
Sheor,50
sai!n,50
qokeol,49
sal,48
olaiin,48
opchedy,48
chear,47
oly,47
qotol,47
Sheody,47
chal,46
Sheo,46
checKhy,46
lkaiin,46
otchy,45
sor,44
otam,43
tol,43
kedy,43
cThey,42
keey,42
otor,42
tar,42
Shdy,42
tedy,42
ykaiin,41
ytaiin,41
lor,41
qoteey,41
aiiin,41
cThor,40
chaiin,40
ody,40
taiin,40
lkeey,40
olkeedy,40
oteol,39
choky,39
lol,39
qodaiin,39
lchey,39
qokchedy,39
olkeey,39
okain,38
lkeedy,38
chodaiin,37
d,37
oteody,37
lShedy,37
kai!n,37
kol,36
cKhy,36
Sheky,35
choty,35
okeody,35
ches,35
dShedy,35
olchedy,34
chos,34
ShecKhy,34
qokor,33
oraiin,33
okchy,32
chees,32
otchedy,32
qopchedy,32
Shar,31
okor,31
otchey,31
cheos,31
qokeody,31
tchedy,31
cKhey,30
oiin,30
qokchey,30
cheal,30
ykar,30
chedaiin,30
chedar,30
lkar,30
okchey,29
ShcThy,29
chcKhey,29
opchey,29
aly,29
olkaiin,29
lkai!n,29
kchy,28
checThy,28
ain,28
olor,28
os,27
qo,27
qotor,27
lkedy,27
olkedy,27
yteedy,27
dchy,26
okeeey,26
pchedy,26
qokeeey,26
olkai!n,26
kor,25
She,25
ytar,25
yteey,25
daly,25
dchedy,25
otchdy,25
okchedy,25
oteos,24
otchol,24
dchor,24
chety,24
yty,24
qokam,24
okam,24
ykeedy,24
chedal,24
olchey,24
qokeeo,23
tchy,23
sair,23
tor,23
qotey,23
chl,23
aiir,23
kal,23
ched,23
qotchdy,23
qotchedy,23
odar,22
tchey,22
ky,22
daiir,22
oldy,22
